usuario_id,nombre,apellido,edad,genero,region,tipo_usuario,fecha_registro,vendor,ingest_date
686579303,María,Pérez,65,Femenino,Ica,Nuevo,2023-04-15,crisol,2025-11-09
726600539,Camila,Herrera,52,Masculino,Piura,Nuevo,2023-01-31,crisol,2025-11-09
100604502,Ana,López,50,Otro,Lima,Nuevo,2024-07-12,crisol,2025-11-09
450455977,Ana,Torres,55,Femenino,Trujillo,Recurrente,2023-06-13,crisol,2025-11-09
749621470,José,Gonzales,35,Masculino,Ica,Recurrente,2023-12-11,crisol,2025-11-09
109747451,María,Ramos,24,Femenino,Cusco,Recurrente,2023-02-14,crisol,2025-11-09
783543540,Lucía,Díaz,25,Femenino,Huancayo,Nuevo,2024-01-06,crisol,2025-11-09
619927151,Ana,Ruiz,22,Masculino,Tacna,Nuevo,2023-10-24,crisol,2025-11-09
85675980,Rosa,López,24,Femenino,Pucallpa,Nuevo,2024-01-09,crisol,2025-11-09
174648506,Sofía,Gonzales,31,Otro,Pucallpa,Recurrente,2023-03-15,crisol,2025-11-09
654049436,Andrés,Rodríguez,52,Otro,Ica,Nuevo,2024-01-24,crisol,2025-11-09
289854268,Javier,Salazar,62,Otro,Ica,Recurrente,2023-02-27,crisol,2025-11-09
245938494,Rosa,Pérez,69,Femenino,Cajamarca,Nuevo,2023-08-05,crisol,2025-11-09
980472440,Valeria,Herrera,63,Femenino,Ica,Recurrente,2024-02-10,crisol,2025-11-09
949921299,Javier,Salazar,47,Masculino,Pucallpa,Nuevo,2024-07-28,crisol,2025-11-09
578722458,Luis,Ruiz,55,Femenino,Piura,Nuevo,2023-08-13,crisol,2025-11-09
148532577,Pedro,Torres,23,Masculino,Huancayo,Nuevo,2023-06-13,crisol,2025-11-09
850488739,Andrés,Ramos,56,Masculino,Cajamarca,Nuevo,2024-04-24,crisol,2025-11-09
568132202,Luis,Díaz,18,Otro,Ayacucho,Nuevo,2024-07-03,crisol,2025-11-09
806248900,Luis,Flores,59,Femenino,Huancayo,Nuevo,2023-06-11,crisol,2025-11-09
487182120,Juan,Ruiz,64,Femenino,Arequipa,Recurrente,2024-06-03,crisol,2025-11-09
979926683,María,Vásquez,58,Femenino,Tacna,Nuevo,2023-07-23,crisol,2025-11-09
164109919,Sofía,Flores,28,Otro,Trujillo,Recurrente,2023-01-01,crisol,2025-11-09
643111853,Sofía,Torres,19,Masculino,Cusco,Recurrente,2023-11-11,crisol,2025-11-09
257109965,Juan,López,54,Masculino,Huancayo,Recurrente,2023-03-12,crisol,2025-11-09
816690353,Pedro,Flores,26,Masculino,Tacna,Nuevo,2024-07-16,crisol,2025-11-09
177303722,Luis,Díaz,56,Femenino,Ica,Recurrente,2023-07-25,crisol,2025-11-09
765523129,Luis,Ramos,60,Otro,Cusco,Nuevo,2024-06-13,crisol,2025-11-09
484779555,María,López,32,Masculino,Cusco,Nuevo,2024-07-21,crisol,2025-11-09
247083812,Valeria,López,18,Masculino,Ayacucho,Recurrente,2023-08-23,crisol,2025-11-09
72370545,Javier,Pérez,39,Masculino,Arequipa,Nuevo,2024-05-12,crisol,2025-11-09
230035022,Pedro,Rodríguez,64,Otro,Piura,Nuevo,2024-04-29,crisol,2025-11-09
867043303,José,López,24,Masculino,Tacna,Nuevo,2024-03-09,crisol,2025-11-09
441417711,Lucía,Vásquez,64,Masculino,Tacna,Recurrente,2023-04-11,crisol,2025-11-09
65082363,José,Ruiz,39,Masculino,Ica,Nuevo,2024-07-03,crisol,2025-11-09
481695135,Carlos,Ramos,29,Femenino,Chiclayo,Nuevo,2023-03-19,crisol,2025-11-09
475808013,Diego,Vásquez,53,Masculino,Lima,Recurrente,2024-07-07,crisol,2025-11-09
897677788,Juan,García,66,Masculino,Huánuco,Nuevo,2024-05-07,crisol,2025-11-09
229509408,Rosa,Ramos,21,Masculino,Cajamarca,Nuevo,2024-02-04,crisol,2025-11-09
284759615,Javier,Flores,68,Femenino,Pucallpa,Nuevo,2024-07-23,crisol,2025-11-09
710678904,Camila,Torres,27,Masculino,Pucallpa,Nuevo,2023-03-01,crisol,2025-11-09
621890096,Camila,Díaz,21,Otro,Cusco,Nuevo,2024-08-21,crisol,2025-11-09
511947770,Pedro,Herrera,51,Masculino,Lima,Recurrente,2023-03-24,crisol,2025-11-09
914122100,Carlos,García,56,Masculino,Tacna,Recurrente,2024-02-18,crisol,2025-11-09
128727266,Javier,Castro,33,Otro,Piura,Nuevo,2023-03-25,crisol,2025-11-09
450139320,Andrés,Castro,54,Otro,Cusco,Recurrente,2023-07-29,crisol,2025-11-09
719112790,Camila,Gonzales,33,Femenino,Cajamarca,Nuevo,2023-11-04,crisol,2025-11-09
490941149,Sofía,Herrera,66,Masculino,Lima,Nuevo,2024-07-30,crisol,2025-11-09
107354053,María,Díaz,31,Otro,Pucallpa,Nuevo,2023-12-24,crisol,2025-11-09
945820704,María,Herrera,33,Femenino,Pucallpa,Nuevo,2024-07-10,crisol,2025-11-09
755420240,Luis,Castro,69,Otro,Arequipa,Nuevo,2024-07-21,crisol,2025-11-09
321455482,Javier,Salazar,24,Masculino,Pucallpa,Nuevo,2023-04-20,crisol,2025-11-09
797163846,Pedro,Rodríguez,35,Femenino,Piura,Nuevo,2023-12-18,crisol,2025-11-09
218610946,Andrés,Salazar,34,Otro,Chiclayo,Nuevo,2023-02-22,crisol,2025-11-09
99104722,Andrés,Ramos,35,Masculino,Lima,Nuevo,2023-05-14,crisol,2025-11-09
684095277,Luis,Rodríguez,65,Femenino,Arequipa,Recurrente,2024-07-28,crisol,2025-11-09
10382761,María,García,62,Masculino,Arequipa,Nuevo,2024-01-14,crisol,2025-11-09
625464884,Pedro,Rodríguez,45,Masculino,Lima,Nuevo,2023-02-10,crisol,2025-11-09
965212976,Sofía,López,61,Masculino,Tacna,Nuevo,2024-07-27,crisol,2025-11-09
949332407,Rosa,Ramos,57,Otro,Huánuco,Recurrente,2023-08-31,crisol,2025-11-09
928363301,Carlos,Flores,69,Masculino,Cajamarca,Nuevo,2023-12-07,crisol,2025-11-09
840081098,Javier,Ramos,69,Otro,Ayacucho,Recurrente,2023-10-01,crisol,2025-11-09
170937380,Diego,Ruiz,24,Femenino,Lima,Recurrente,2023-08-16,crisol,2025-11-09
214289692,Rosa,Herrera,47,Femenino,Pucallpa,Recurrente,2023-08-22,crisol,2025-11-09
239362341,Juan,Salazar,30,Femenino,Cusco,Nuevo,2023-03-13,crisol,2025-11-09
830353157,Luis,Gonzales,59,Otro,Cajamarca,Recurrente,2024-07-03,crisol,2025-11-09
355569462,Juan,García,34,Masculino,Piura,Recurrente,2023-09-29,crisol,2025-11-09
41078352,María,Castro,45,Femenino,Ayacucho,Recurrente,2024-03-22,crisol,2025-11-09
650911797,Pedro,García,42,Otro,Ica,Nuevo,2024-03-22,crisol,2025-11-09
1815992,Pedro,Herrera,69,Otro,Tacna,Recurrente,2023-07-21,crisol,2025-11-09
391079829,José,García,60,Femenino,Piura,Nuevo,2023-05-08,crisol,2025-11-09
772830248,Javier,Martínez,50,Femenino,Tacna,Nuevo,2024-02-17,crisol,2025-11-09
748621833,Luis,Díaz,26,Masculino,Cajamarca,Recurrente,2024-01-24,crisol,2025-11-09
727264603,Camila,Herrera,29,Otro,Piura,Nuevo,2024-07-15,crisol,2025-11-09
895205588,Juan,Martínez,36,Masculino,Cajamarca,Recurrente,2023-11-26,crisol,2025-11-09
499277266,Lucía,Torres,61,Masculino,Arequipa,Nuevo,2023-06-23,crisol,2025-11-09
707435606,María,Martínez,50,Otro,Tacna,Recurrente,2023-04-06,crisol,2025-11-09
878775497,Diego,López,61,Femenino,Ica,Recurrente,2023-05-31,crisol,2025-11-09
26226563,Juan,López,48,Otro,Trujillo,Nuevo,2024-02-29,crisol,2025-11-09
951482263,Andrés,Castro,30,Otro,Ayacucho,Nuevo,2024-02-14,crisol,2025-11-09
261976301,Carlos,Salazar,62,Masculino,Trujillo,Recurrente,2023-04-20,crisol,2025-11-09
835822550,José,López,29,Otro,Arequipa,Nuevo,2024-07-24,crisol,2025-11-09
267574609,Javier,Vásquez,25,Femenino,Huánuco,Recurrente,2024-06-27,crisol,2025-11-09
600141462,Valeria,Gonzales,66,Femenino,Piura,Recurrente,2024-05-31,crisol,2025-11-09
458209399,Rosa,Herrera,53,Femenino,Huánuco,Recurrente,2024-05-01,crisol,2025-11-09
483258726,Luis,Flores,33,Otro,Pucallpa,Recurrente,2024-06-17,crisol,2025-11-09
520332086,Andrés,López,35,Femenino,Huancayo,Recurrente,2023-08-29,crisol,2025-11-09
291751878,Sofía,Gonzales,52,Masculino,Huánuco,Nuevo,2024-01-28,crisol,2025-11-09
745122940,Carlos,Ruiz,31,Masculino,Cajamarca,Nuevo,2024-07-09,crisol,2025-11-09
500282414,José,Pérez,31,Femenino,Cajamarca,Recurrente,2024-08-21,crisol,2025-11-09
746812123,Juan,Vásquez,66,Otro,Cajamarca,Nuevo,2023-12-27,crisol,2025-11-09
320632895,Diego,Ramos,44,Otro,Ayacucho,Recurrente,2023-08-14,crisol,2025-11-09
524232414,Ana,Martínez,45,Femenino,Lima,Nuevo,2024-02-19,crisol,2025-11-09
777583839,Carlos,Vásquez,47,Masculino,Piura,Nuevo,2024-02-08,crisol,2025-11-09
635540030,Valeria,Salazar,19,Masculino,Tacna,Nuevo,2024-04-17,crisol,2025-11-09
195130056,Juan,Martínez,42,Femenino,Ica,Nuevo,2023-12-12,crisol,2025-11-09
817364173,Javier,Ramos,35,Femenino,Pucallpa,Recurrente,2024-04-26,crisol,2025-11-09
20812641,Camila,Díaz,21,Femenino,Ica,Recurrente,2023-02-11,crisol,2025-11-09
809851739,Juan,López,30,Masculino,Piura,Nuevo,2023-05-10,crisol,2025-11-09
508482316,Andrés,García,54,Masculino,Chiclayo,Recurrente,2024-01-13,crisol,2025-11-09
180162221,Valeria,Castro,65,Otro,Huancayo,Recurrente,2023-06-17,crisol,2025-11-09
333975497,María,Castro,19,Femenino,Piura,Recurrente,2024-01-20,crisol,2025-11-09
425904456,Camila,López,22,Otro,Ayacucho,Recurrente,2023-09-06,crisol,2025-11-09
109415691,Camila,Flores,37,Otro,Piura,Recurrente,2024-08-02,crisol,2025-11-09
840348305,Juan,Gonzales,52,Femenino,Tacna,Nuevo,2024-06-02,crisol,2025-11-09
695294275,Sofía,Pérez,44,Femenino,Huancayo,Nuevo,2024-01-06,crisol,2025-11-09
682454310,Javier,Vásquez,47,Otro,Huánuco,Nuevo,2024-06-18,crisol,2025-11-09
698423334,Luis,Castro,69,Otro,Trujillo,Nuevo,2024-03-22,crisol,2025-11-09
886625773,Camila,Castro,35,Femenino,Ica,Recurrente,2023-03-30,crisol,2025-11-09
299496923,Javier,Torres,33,Femenino,Piura,Recurrente,2024-01-24,crisol,2025-11-09
361203124,Juan,Torres,38,Masculino,Chiclayo,Nuevo,2023-09-22,crisol,2025-11-09
365436049,Luis,Herrera,56,Otro,Pucallpa,Nuevo,2024-06-13,crisol,2025-11-09
205145276,María,López,64,Femenino,Chiclayo,Nuevo,2023-09-04,crisol,2025-11-09
741536135,Lucía,Salazar,63,Femenino,Chiclayo,Recurrente,2023-04-06,crisol,2025-11-09
315933049,Ana,Ramos,62,Masculino,Pucallpa,Recurrente,2024-01-13,crisol,2025-11-09
508159580,Pedro,Díaz,40,Femenino,Ayacucho,Nuevo,2023-12-27,crisol,2025-11-09
754684750,Lucía,Martínez,37,Femenino,Ica,Nuevo,2023-07-17,crisol,2025-11-09
338817025,María,Ruiz,52,Otro,Huánuco,Nuevo,2024-05-10,crisol,2025-11-09
296889215,Camila,Castro,66,Otro,Piura,Nuevo,2023-04-13,crisol,2025-11-09
894027897,Ana,Martínez,32,Femenino,Huánuco,Nuevo,2024-06-30,crisol,2025-11-09
135917419,Luis,Pérez,21,Otro,Pucallpa,Recurrente,2023-05-10,crisol,2025-11-09
684907325,Rosa,Flores,49,Masculino,Lima,Nuevo,2024-04-25,crisol,2025-11-09
514015466,Lucía,Gonzales,29,Masculino,Pucallpa,Recurrente,2024-05-04,crisol,2025-11-09
122500131,Rosa,García,43,Femenino,Huancayo,Nuevo,2023-02-24,crisol,2025-11-09
162915636,Carlos,Flores,54,Femenino,Huancayo,Recurrente,2023-05-02,crisol,2025-11-09
599226355,Diego,Ramos,56,Otro,Trujillo,Recurrente,2024-06-19,crisol,2025-11-09
408427798,Lucía,Herrera,46,Femenino,Piura,Recurrente,2023-11-09,crisol,2025-11-09
610561240,Valeria,Pérez,57,Otro,Huancayo,Recurrente,2023-08-01,crisol,2025-11-09
671641650,Ana,Martínez,60,Masculino,Huánuco,Nuevo,2024-07-19,crisol,2025-11-09
80600295,Carlos,Pérez,44,Femenino,Ayacucho,Nuevo,2023-10-26,crisol,2025-11-09
35046782,Ana,Martínez,63,Femenino,Ayacucho,Recurrente,2023-03-14,crisol,2025-11-09
738073939,Ana,Herrera,34,Otro,Piura,Recurrente,2023-07-22,crisol,2025-11-09
456489494,María,Díaz,32,Otro,Huánuco,Recurrente,2023-05-26,crisol,2025-11-09
76675731,Juan,Rodríguez,68,Femenino,Piura,Recurrente,2024-08-05,crisol,2025-11-09
989122949,Luis,Torres,25,Femenino,Ayacucho,Nuevo,2024-02-17,crisol,2025-11-09
292322121,Pedro,Díaz,49,Femenino,Huancayo,Nuevo,2024-03-18,crisol,2025-11-09
788699799,Sofía,Castro,34,Masculino,Huancayo,Nuevo,2024-08-12,crisol,2025-11-09
630418447,Juan,Flores,61,Femenino,Piura,Nuevo,2023-06-29,crisol,2025-11-09
